name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Pontus Frithiof Le Bar,Cocktail Bar,"Rålambsvägen 17, 112 59 Stockholm, Sweden",59.32807090000001,18.0162945,4.4,14,,,08-23 99 50,http://latourbypontus.com/le-bar,Monday: Closed; Tuesday: Closed; Wednesday: 5:30 PM – 12:00 AM; Thursday: 5:30 PM – 12:00 AM; Friday: 5:30 PM – 12:00 AM; Saturday: 5:30 PM – 12:00 AM; Sunday: Closed,ChIJwzK2ne93X0YRg9kLOW9Klew
Bar Elisabeth,Cocktail Bar,"Tegnérgatan 11, 111 40 Stockholm, Sweden",59.3403268,18.0632845,5,55,,,,https://www.instagram.com/barelisabethstockholm/?utm_source=google,Monday: Closed; Tuesday: Closed; Wednesday: 4:00 – 11:00 PM; Thursday: 4:00 – 11:00 PM; Friday: 4:00 PM – 12:00 AM; Saturday: 4:00 PM – 12:00 AM; Sunday: Closed,ChIJkxhBLgCdX0YRAyEDrm1Tdn8
Chewie's Bar,Cocktail Bar,"Norr Mälarstrand 32, 112 20 Stockholm, Sweden",59.326868499999996,18.0429019,4.9,485,MODERATE,,,http://www.chewiesbar.com/,Monday: Closed; Tuesday: 3:00 – 10:00 PM; Wednesday: 3:00 – 10:00 PM; Thursday: 3:00 – 10:00 PM; Friday: 3:00 – 11:00 PM; Saturday: 1:00 – 7:00 PM; Sunday: Closed,ChIJs35OHNl3X0YRyzeBHFf1ztg
Xarcuteria,Cocktail Bar,"Hantverkargatan 40, 112 21 Stockholm, Sweden",59.329546300000004,18.0399972,4.4,281,EXPENSIVE,,08-410 490 02,http://www.xarcuteria.se/,Monday: Closed; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 – 11:00 PM; Friday: 5:00 PM – 12:00 AM; Saturday: 5:00 PM – 12:00 AM; Sunday: Closed,ChIJORuMENh3X0YROZputFLERec
Guldbaren,Cocktail Bar,"Norrmalmstorg 2-4, 111 46 Stockholm, Sweden",59.33348480000001,18.073833800000003,4.6,22,,,08-614 10 00,https://www.nobishotel.se/guldbaren?utm_source=google,Monday: 5:00 – 11:00 PM; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 PM – 12:00 AM; Thursday: 5:00 PM – 12:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 4:00 PM – 1:00 AM; Sunday: 5:00 – 11:00 PM,ChIJ-dbBIv6dX0YRSJwD2T0TV1w
Vinfolket,Wine Bar,"Scheelegatan 2, 112 23 Stockholm, Sweden",59.329210499999995,18.0435329,4.3,272,MODERATE,,010-333 35 43,https://vinfolket.se/info/vinbarer/?utm_source=google,Monday: 3:00 – 11:00 PM; Tuesday: 3:00 – 11:00 PM; Wednesday: 3:00 – 11:00 PM; Thursday: 3:00 – 11:00 PM; Friday: 1:00 – 11:00 PM; Saturday: 1:00 – 11:00 PM; Sunday: Closed,ChIJP_eQ-VZ3X0YR3irjrJuuXxU
insieme,Wine Bar,"Kungsholms strand 163, 112 48 Stockholm, Sweden",59.338233200000005,18.0253986,4.5,42,,,073-381 81 04,,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 4:00 – 11:00 PM; Saturday: 4:00 – 11:00 PM; Sunday: Closed,ChIJS5whmzydX0YR3a5YXy4mD9w
Avec Vinbar,Wine Bar,"Sankt Eriksgatan 100, 113 31 Stockholm, Sweden",59.343425100000005,18.039319499999998,4.9,42,,,076-028 61 60,https://avecstockholm.com/,Monday: Closed; Tuesday: Closed; Wednesday: 4:00 – 10:00 PM; Thursday: 4:00 – 10:00 PM; Friday: 4:00 – 10:00 PM; Saturday: 4:00 – 10:00 PM; Sunday: Closed,ChIJD5DbFhydX0YRw7jSdAfyGTg
Lucky Bowl Kungsholmen,Sports Bar,"S:t Göransgatan 64, 112 33 Stockholm, Sweden",59.33326460000001,18.032654100000002,4,506,,,08-651 55 16,https://luckybowl.se/stockholm/kungsholmen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=stockholm-kungsholmen,Monday: 1:00 – 10:00 PM; Tuesday: 1:00 – 10:00 PM; Wednesday: 1:00 – 10:00 PM; Thursday: 1:00 – 10:00 PM; Friday: 1:00 – 11:00 PM; Saturday: 1:00 – 11:00 PM; Sunday: 1:00 – 10:00 PM,ChIJQ6P9wH2dX0YRiqpgHo9cMsk
The Streetfood Labs,Sports Bar,"Sankt Eriksgatan 1, 112 39 Stockholm, Sweden",59.3292167,18.0288747,4.4,1241,MODERATE,,076-618 77 52,http://streetfoodlabs.se/,"Monday: 5:00 – 9:00 PM; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 11:30 AM – 1:30 PM, 5:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 9:00 PM",ChIJwZ4sAqp3X0YRwUaVui9wpRo
Neni Stockholm,Sports Bar,"Drottningholmsvägen 22, 112 42 Stockholm, Sweden",59.332393499999995,18.030044999999998,5,3,,,,,Monday: 3:00 PM – 12:00 AM; Tuesday: 3:00 PM – 12:00 AM; Wednesday: 3:00 PM – 12:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: 3:00 PM – 12:00 AM,ChIJxTCQrKqdX0YRBcsvColgit8
Aama Himalayan Kitchen - Stockholm,Sports Bar,"Fridhemsgatan 15, 112 40 Stockholm, Sweden",59.3314338,18.027331699999998,4.7,920,MODERATE,,08-522 408 04,https://aamahimalayancafe.com/?utm_source=google,Monday: 10:00 AM – 9:00 PM; Tuesday: 10:00 AM – 9:00 PM; Wednesday: 10:00 AM – 9:00 PM; Thursday: 10:00 AM – 9:00 PM; Friday: 10:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 9:00 PM,ChIJRVhSqvB3X0YRUo1pPYtG7Dc
Mae Thai Fridhemsplan,Sports Bar,"Drottningholmsvägen 14, 112 42 Stockholm, Sweden",59.3323691,18.030953699999998,4.4,1067,INEXPENSIVE,,08-650 48 90,https://maethaiwok.se/restauranger/mae-thai-wok-fridhemsplan/,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 10:00 PM,ChIJec-E-32dX0YRn503IK5JJDU
Greasy Spoon,Sports Bar,"S:t Göransgatan 74, 112 38 Stockholm, Sweden",59.333548900000004,18.0304817,4.3,418,MODERATE,,,http://www.greasyspoon.se/,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJaTgNk2-dX0YRZfAskQfg8Cw
Red Ninja Sushi Bar,Sports Bar,"Drottningholmsvägen 9, 112 42 Stockholm, Sweden",59.3319359,18.0316803,4.4,427,MODERATE,,08-667 88 90,http://www.facebook.com/redninjasushibar,"Monday: Closed; Tuesday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM; Wednesday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM; Thursday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM; Friday: 11:00 AM – 2:00 PM, 4:00 – 9:00 PM; Saturday: 4:00 – 8:00 PM; Sunday: 4:00 – 8:00 PM",ChIJOZs27X2dX0YR_LFROdqNQ9o
The Auld Dub,Irish Pub,"Holländargatan 1, 111 36 Stockholm, Sweden",59.335385800000005,18.061496299999998,4,2570,MODERATE,"Jumping pub with an Irish theme & traditional dark-wood interior, with live music & TV sports.",08-679 77 07,http://theaulddub.se/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 2:00 PM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 12:00 – 11:00 PM,ChIJkfT5bmedX0YRBWojhZ1xrZY
The Liffey,Irish Pub,"Stora Nygatan 40, 111 27 Stockholm, Sweden",59.323466399999994,18.0703054,4.1,1753,MODERATE,,08-21 80 25,http://www.theliffey.se/,Monday: 3:00 – 11:00 PM; Tuesday: 3:00 PM – 12:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 12:00 PM – 12:00 AM,ChIJFXcC_eJ3X0YRi5AthfTiK-c
O’Connell’s Irish Pub,Irish Pub,"Stora Nygatan 21, 111 27 Stockholm, Sweden",59.3244329,18.069087,4.1,2088,MODERATE,,08-22 30 70,http://www.oconnells.se/,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 12:00 PM – 12:00 AM,ChIJuURiROJ3X0YRhyVR4Ej_eFc
Molly Malone's,Irish Pub,"Odengatan 83, 113 22 Stockholm, Sweden",59.3419174,18.0478219,3.8,1118,MODERATE,,046-30 18 66,https://mollymalones.se/?utm_source=google,Monday: 1:00 PM – 12:00 AM; Tuesday: 1:00 PM – 12:00 AM; Wednesday: 1:00 PM – 12:00 AM; Thursday: 1:00 PM – 12:00 AM; Friday: 1:00 PM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: 1:00 PM – 12:00 AM,ChIJeX3G_G-dX0YRLsJdkWI5Jao
Wirströms Pub,Irish Pub,"Stora Nygatan 13, 111 27 Stockholm, Sweden",59.3248609,18.0683004,4.4,2427,MODERATE,,08-21 28 74,https://wirstromspub.se/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 12:00 PM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJnwYSQOJ3X0YRcPtNzSXQTD4
Dublin Delight,Irish Pub,"Ölandsgatan 45A, 116 63 Stockholm, Sweden",59.3087717,18.0767372,4.6,33,,,08-767 69 50,,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 1:00 AM,ChIJBWXyYxt3X0YRgKN2BGAFp9Y
Bagpiper’s Inn,Irish Pub,"Rörstrandsgatan 21, 113 40 Stockholm, Sweden",59.3402911,18.0311248,4.1,714,MODERATE,,08-711 57 09,http://bagpipers.se/,Monday: 4:00 – 11:00 PM; Tuesday: 4:00 PM – 12:00 AM; Wednesday: 4:00 PM – 1:00 AM; Thursday: 4:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 2:00 PM – 1:00 AM; Sunday: 2:00 – 11:00 PM,ChIJ1YhPAXmdX0YRfvFLgo_3JvA
Wirströms Pub ( City),Irish Pub,"Kungsgatan 7, 111 43 Stockholm, Sweden",59.3358874,18.0703244,4.2,109,,,08-18 79 77,https://wirstromspub.se/city/,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 1:00 AM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 12:00 PM – 3:00 AM; Sunday: 1:00 – 9:00 PM,ChIJ_b4AyN2dX0YRxS2R2Zaw6hs
Pickwick Restaurang & Pub,Irish Pub,"Drottninggatan 6, 111 51 Stockholm, Sweden",59.3291948,18.0663622,4.2,2866,MODERATE,,08-411 10 16,https://pickwick.nu/,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 11:00 AM – 1:00 AM; Sunday: 11:00 AM – 12:00 AM,ChIJa4yHGF-dX0YR_NaoziT3tZI
Southside Pub,Irish Pub,"Hornsgatan 104, 117 26 Stockholm, Sweden",59.3175,18.05,4,1235,MODERATE,Big-screen TV sports & live music in a buzzy Irish pub with leather sofas & wood-paneled walls.,08-669 50 52,http://www.southsidepub.se/,Monday: 3:00 PM – 12:00 AM; Tuesday: 3:00 PM – 12:00 AM; Wednesday: 3:00 PM – 12:00 AM; Thursday: 3:00 PM – 12:00 AM; Friday: 1:00 PM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: 1:00 – 11:00 PM,ChIJ47SAVd13X0YRutJP6TNccCc
Stampen,Jazz Bar,"Stora Gråmunkegränd 7, 111 27 Stockholm, Sweden",59.32531399999999,18.067823,4.5,2318,MODERATE,"Nightly live jazz & blues acts in an intimate, antique-filled tavern with a 17th-century cellar bar.",,http://www.stampen.se/,Monday: Closed; Tuesday: 5:00 PM – 12:00 AM; Wednesday: 5:00 PM – 12:00 AM; Thursday: 5:00 PM – 12:00 AM; Friday: 5:00 PM – 2:00 AM; Saturday: 1:00 PM – 2:00 AM; Sunday: 5:00 PM – 12:00 AM,ChIJv8p8FuJ3X0YRVb4BR8Lun-4
S:t Eriks Jazzbar,Jazz Bar,"Rörstrandsgatan 21, 113 41 Stockholm, Sweden",59.3402982,18.0311956,4.8,20,,,070-752 94 39,https://steriksjazzbar.se/,Monday: Closed; Tuesday: Closed; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 5:00 PM – 1:00 AM; Saturday: 6:00 PM – 1:00 AM; Sunday: Closed,ChIJCWZ-pG-dX0YRIKTN99_OtIc
Glenn Miller Café,Jazz Bar,"Brunnsgatan 21A, 111 38 Stockholm, Sweden",59.336492099999994,18.0665646,4.5,594,MODERATE,"Live jazz performances in an intimate, candlelit cafe/bar decorated with music ephemera.",,https://www.glennmillercafe.se/?utm_source=google,Monday: 6:00 PM – 12:00 AM; Tuesday: 6:00 PM – 12:00 AM; Wednesday: 6:00 PM – 12:00 AM; Thursday: 6:00 PM – 12:00 AM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: Closed,ChIJbz3gN1KcX0YRCpnnqavYTNQ
Fasching,Jazz Bar,"Kungsgatan 63, 111 22 Stockholm, Sweden",59.333428299999994,18.055935899999998,4.4,1646,MODERATE,"Renowned jazz club staging emerging talent & international legends, plus a balcony restaurant & bar.",08-20 00 66,http://www.fasching.se/,,ChIJgV3AKGGdX0YR5IUhAufGRsM
Kung Carls Jazzklubb,Jazz Bar,"Norrlandsgatan 28, 111 43 Stockholm, Sweden",59.33636139999999,18.071081100000004,4,49,,,08-463 50 80,https://www.facebook.com/kungcarlsjazzklubb,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 5:00 PM – 12:00 AM; Saturday: 6:00 – 11:00 PM; Sunday: Closed,ChIJq08iQtWdX0YRh4J6ity993k
"S:ta Clara Restaurant, Bierhaus & Live Musik Venue",Jazz Bar,"Lilla Nygatan 17, 111 28 Stockholm, Sweden",59.32360609999999,18.069127599999998,4.3,1000,MODERATE,,08-411 30 32,https://staclara.se/?utm_source=google,Monday: 4:00 – 11:00 PM; Tuesday: 4:00 – 11:00 PM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 4:00 PM – 12:00 AM; Friday: 4:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 4:00 – 11:00 PM,ChIJadSvU-J3X0YRDuMBWE_6qLA
Eden,Jazz Bar,"Smedsuddsvägen 23, 112 35 Stockholm, Sweden",59.325525,18.0236207,3.9,288,,,08-84 80 77,https://www.edensthlm.se/,Monday: Closed; Tuesday: Closed; Wednesday: 3:00 – 11:00 PM; Thursday: 3:00 – 11:00 PM; Friday: 3:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: Closed,ChIJZQW_8gt3X0YRKY5IWXyK26M
Orangeriet,Jazz Bar,"Norr Mälarstrand Kajplats 464, Norr Mälarstrand 29, 112 20 Stockholm, Sweden",59.3264546,18.0438902,4,2173,MODERATE,"Easygoing waterside cafe/bar with a country-chic vibe & garden theme, with menu of burgers & salads.",08-684 238 70,https://trattorian.se/orangeriet/,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: 11:30 AM – 10:00 PM,ChIJfXbxI9l3X0YR0YESMf5jN7U
Rost,Jazz Bar,"Wollmar Yxkullsgatan 52, 118 50 Stockholm, Sweden",59.315669699999994,18.052698799999998,4.5,607,MODERATE,,072-303 32 98,http://www.roststockholm.se/,Monday: Closed; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 4:00 – 11:00 PM; Saturday: 4:00 – 11:00 PM; Sunday: Closed,ChIJ6zdhb-h3X0YRdt5BuBqUgPQ
Hilma,Jazz Bar,"Torsgatan 10, 111 23 Stockholm, Sweden",59.3357762,18.0512217,4.1,709,MODERATE,,08-505 323 82,http://www.hilmastockholm.com/,Monday: 11:00 AM – 1:30 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 1:00 AM; Saturday: 3:00 PM – 3:00 AM; Sunday: Closed,ChIJD7E1EmSdX0YR3aeerS4DTqk
International Bar Birkastan,Jazz Bar,"Rörstrandsgatan 11, 113 41 Stockholm, Sweden",59.3399432,18.0333346,3,120,,,,http://internationalbar.se/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 PM – 1:00 AM,ChIJv8oV6cWdX0YRilmBQML7x_o
Pharmarium,Jazz Bar,"Stortorget 7, 111 29 Stockholm, Sweden",59.3248049,18.0708525,4.4,1613,EXPENSIVE,,08-20 08 10,https://pharmarium.se/,Monday: 5:00 – 11:00 PM; Tuesday: 5:00 – 11:00 PM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 4:00 PM – 12:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: 5:00 – 11:00 PM,ChIJvZ5qiuJ3X0YRuXir1p3HI7M
Corner Club Rescued by Sovel,Jazz Bar,"Lilla Nygatan 16, 111 28 Stockholm, Sweden",59.3233216,18.069340099999998,4.5,307,EXPENSIVE,,08-641 81 50,https://sovel.se/,Monday: Closed; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: 3:00 PM – 1:00 AM,ChIJq8Avq-N3X0YRd_FZtLBK4xs
Oljebaren Restaurang - Vasastan,Jazz Bar,"Torsgatan 48B, 113 37 Stockholm, Sweden",59.34192429999999,18.0374433,4.3,444,MODERATE,,08-31 51 50,https://www.oljebaren.com/?utm_source=google,Monday: Closed; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 – 11:00 PM; Friday: 5:00 PM – 12:00 AM; Saturday: 5:00 PM – 12:00 AM; Sunday: Closed,ChIJTQdJHXqdX0YRmwOi2I8zEEg
Kung Carl Mat & Bar,Jazz Bar,"Birger Jarlsgatan 21, 111 45 Stockholm, Sweden",59.336371899999996,18.071642999999998,4.3,53,,,08-463 50 00,https://www.kungcarl.se/mat-och-dryck?utm_source=google,Monday: 6:30 AM – 11:00 PM; Tuesday: 6:30 AM – 11:00 PM; Wednesday: 6:30 AM – 1:00 AM; Thursday: 6:30 AM – 1:00 AM; Friday: 6:30 AM – 1:00 AM; Saturday: 7:30 AM – 1:00 AM; Sunday: 7:30 AM – 11:00 PM,ChIJyQoIlw6dX0YRIMYPsPVWI8s
K Karaoke,Karaoke Bar,"Odengatan 87, 113 22 Stockholm, Sweden",59.3416249,18.046908000000002,3.7,506,,,08-33 12 36,http://www.kkaraoke.se/,Monday: Closed; Tuesday: Closed; Wednesday: 7:00 PM – 1:00 AM; Thursday: 7:00 PM – 1:00 AM; Friday: 7:00 PM – 3:00 AM; Saturday: 6:00 PM – 3:00 AM; Sunday: Closed,ChIJnwQTAXCdX0YRB3fRxjBiiS4
